"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Burundi","BDI","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.305334493764196","1.45729832506366","3.49266770916697","3.1959825567903","1.66362151202897","17.0427644195371","1.53136187525021","0.169516196680364","",
"Belgium","BEL","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.46280131701104","8.94379655597153","11.3558323720033","9.26259222057831","8.67392756846036","8.9408963058828","10.6391692924993","11.9385860588887","12.334459109292","13.3305119406477","11.4912824136428","11.7053409561729","14.1433561921381","15.2486943664255","",
"Benin","BEN","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.27585565497432","4.13534388145927","2.16747282196684","1.24834156831806","5.30821710727246","2.85225253972837","2.54761373119509","2.68079516127713","",
"Burkina Faso","BFA","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.745313488358338","7.90749736917449","7.3137905732583","8.63625785774994","13.9928602563933","11.0463355387336","5.28672178679475","5.94496725526008","5.66933424892757","5.91095910085934","25.8029365912648","3.42097608499453","",
"Bangladesh","BGD","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43548045293532","0.305861221775","0.213021520039452","0.194923390972681","0.463362848345637","0.299088585529724","","0.307867108420826","","","","","","",
"Bulgaria","BGR","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.29338581053458","6.97008702213954","8.66205735683869","8.40070151580639","7.80911613137845","8.04178569318111","8.28438925925087","7.56472405726926","8.43060753466751","8.9774897584043","9.62998953660064","10.3687023265949","10.8470077923568","11.2950526613516","",
"Bahrain","BHR","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0312131357653217","0.11026045503336","0.152292185757832","0.386616227466354","0.592039152627347","1.49913873704455","0.935614432185375","1.05834009924522","0.62494866713646","0.449029830407903","4.44818425797862","","",
"Bahamas, The","BHS","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.27111839740394E-05","0.00179611894057693","0","0","0","0","0","2.10443665797755","7.80295315024325","1.96612463458756","","","",
"Bosnia and Herzegovina","BIH","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.49999114613876","3.54054508077565","2.83311656510338","3.2716990701044","2.61783203103488","2.40453154943026","2.49515255800709","2.96382000748818","2.73442375200126","5.44354938449438","5.25473155841698","5.26612135200608","4.61445236486832","",
"Belarus","BLR","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.43063175464394","3.14372283754312","3.05180279293044","2.55914230647464","2.8334921912754","4.5939914996724","4.16244961652441","4.47290062781742","4.86883830131132","4.39080942474804","4.05182758301637","4.25158266207933","4.7679176094416","",
